0957bn,1.086111167,1.618181818,1.308333342,1.058333308
2176as,1.708333417,1.645454482,2.912121182,0.930555642
2221ee,1.788888942,2.566666727,1.439393818,2.0416665
2437mg,2.4944445,1.839394064,2.830303,1.566666558
3242ay,1.061111025,1.581818091,1.258333283,1.7805555
3243we,0.83055555,1.030303045,0.961111142,0.80555555
3349aa,1.713888917,2.660606091,2.442424182,2.761111083
3459vv,1.050000017,0.969696973,0.997222183,0.872222225
3463ll,1.097222225,1.066666636,1.113888967,1.152777783
3464ou,0.730555558,0.9666667,0.933333333,0.797222233
3467oj,1.211111033,1.193939455,1.405555583,1.152777783
3470mx,1.436111167,3.175757636,1.747222333,2.336111192
3471cn,2.247222167,1.736363636,2.538888917,1.34999995
3490ja,1.60277775,1.293939364,2.260606118,1.166666692
3495br,1.491666583,1.527272727,1.738888917,1.677777583
3504nj,1.074999975,1.233333364,1.466666783,1.16388895
